Authors,Authors_link,Title,Title_link,Date
"Jacobo, J.",https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo,Figures of a Gender Now Upon Us: The Transfeminine in Contemporary Queer Fiction from the Philippines,https://pureportal.coventry.ac.uk/en/publications/figures-of-a-gender-now-upon-us-the-transfeminine-in-contemporary,1 Jan 2022
"Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Foreword by Prof. Katherine Wimpenny,https://pureportal.coventry.ac.uk/en/publications/foreword-by-prof-katherine-wimpenny,2022
"Hussain, H., Ayoubi, R., Durrani, U., Kamal, M. M., Al Naymat, G.","https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi,  https://pureportal.coventry.ac.uk/en/persons/muhammad-mustafa-kamal",Gamified flipped classroom versus traditional classroom learning: Which approach is more efficient in business education?,https://pureportal.coventry.ac.uk/en/publications/gamified-flipped-classroom-versus-traditional-classroom-learning-,1 Mar 2022
"Swanson, D., Gamal, M., Wimpenny, K., Findlow, S., Hatley, J., Bourn, D.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,"Global Citizenship Education and Sustainability: overcoming contradictions, tensions, rhetoric, and ‘flaws’: Global Citizenship and Borderland Learning",https://pureportal.coventry.ac.uk/en/publications/global-citizenship-education-and-sustainability-overcoming-contra,6 Sept 2022
"Adefila, A., DeWinter, A., Wimpenny, K., Morini, L., Dang, Q.","https://pureportal.coventry.ac.uk/en/persons/que-anh-dang,  https://pureportal.coventry.ac.uk/en/persons/alun-dewinter,  https://pureportal.coventry.ac.uk/en/persons/luca-morini,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny",Global Learning and Assessment; How can global citizenship-oriented curricula enhance teaching training?,https://pureportal.coventry.ac.uk/en/publications/global-learning-and-assessment-how-can-global-citizenship-oriente,2022
"Khalil-Babatunde, M., Adefila, A., Morini, L., Spolander, G., Teixeira, R. V.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,Higher education decolonisation: #Whose voices and their geographical locations?,https://pureportal.coventry.ac.uk/en/publications/higher-education-decolonisation-whose-voices-and-their-geographic,27 May 2022
"James, R. S., McBride, L., Alsop, S., Oxford, S. W.","https://pureportal.coventry.ac.uk/en/persons/sian-alsop,  https://pureportal.coventry.ac.uk/en/persons/sam-oxford",Intra and Inter-Rater Reliability of a Novel Isometric Test of Neck Strength,https://pureportal.coventry.ac.uk/en/publications/intra-and-inter-rater-reliability-of-a-novel-isometric-test-of-ne,21 Dec 2022
"Orsini-Jones, M., Jacobs, L., Finardi, K., Wimpenny, K.","https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,  https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones","Knowing, Being, Relating and Expressing through Third Space Global South-North COIL: Digital Inclusion and Equity in International Higher Education",https://pureportal.coventry.ac.uk/en/publications/knowing-being-relating-and-expressing-through-third-space-global-,May 2022
"Crawford, M., Simkins, T., Maxwell, B., Coldron, J.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,Local Authorities as actors in the emerging ‘school-led’ system in England,https://pureportal.coventry.ac.uk/en/publications/local-authorities-as-actors-in-the-emerging-school-led-system-in-,7 Jun 2022
"Alvarado, I. U., Rojo, P., Cinotti, A., Clouder, L., Amador Fierros, G., Karakus, M., Ferreyra, M. V.","https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,  https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus",Neurodiversidad en la Educación Superior: la experiencia de los estudiantes,https://pureportal.coventry.ac.uk/en/publications/neurodiversidad-en-la-educaci%C3%B3n-superior-la-experiencia-de-los-es,22 Mar 2022
"Ersozlu, A., Clouder, D. L., Karakus, M., Karakas, F.","https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,  https://pureportal.coventry.ac.uk/en/persons/deanne-clouder",Nurturing a Climate of Innovation in a Didactic Educational System: A Case Study Exploring Leadership in Private Schools in Turkey,https://pureportal.coventry.ac.uk/en/publications/nurturing-a-climate-of-innovation-in-a-didactic-educational-syste,6 Oct 2022
"Tramontano, C., Brown, S., Wright, H., Walker, K., Crookes, R.","https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,  https://pureportal.coventry.ac.uk/en/persons/hayley-wright",Older Individuals Convicted of Sexual Offenses: A Literature Review,https://pureportal.coventry.ac.uk/en/publications/older-individuals-convicted-of-sexual-offenses-a-literature-revie,Apr 2022
"Orsini-Jones, M., Finardi, K.",https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones,Out of the comfort zone: The Trouble With A Mooc-Virtual Exchange (Ve) Blend At The Time Of The Covid 19 Pandemic,https://pureportal.coventry.ac.uk/en/publications/out-of-the-comfort-zone-the-trouble-with-a-mooc-virtual-exchange-,4 Jun 2022
"Adriany, V., Luther, J. D., Bong, S. A., Curtin, B., Jacobo, J.",https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo,Pedagogy of queer studies beyond empire,https://pureportal.coventry.ac.uk/en/publications/pedagogy-of-queer-studies-beyond-empire,22 Nov 2022
"Mohamad, F., Dawson, M., Adefila, A., Schwartz, G., Morini, L., Chen, Y-F., Minoi, J-L., Mahon, D.","https://pureportal.coventry.ac.uk/en/persons/luca-morini,  https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen,  https://pureportal.coventry.ac.uk/en/persons/mark-dawson",Playful Participatory Mapping – Co-creating Games to Foster Systems Thinking,https://pureportal.coventry.ac.uk/en/publications/playful-participatory-mapping-co-creating-games-to-foster-systems,2022
"Morini, L., Baroni, F.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,Prendersi (il) gioco: la prospettiva della co-progettazione contro l’egemonia dei sistemi chiusi nei giochi educativi,https://pureportal.coventry.ac.uk/en/publications/prendersi-il-gioco-la-prospettiva-della-co-progettazione-contro-l,10 Oct 2022
"Crawford, M., Oplatka, I.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,"Principal, let’s talk about emotions: some lessons COVID-19 taught us about emergency situations and leadership",https://pureportal.coventry.ac.uk/en/publications/principal-lets-talk-about-emotions-some-lessons-covid-19-taught-u,2 Jan 2022
"Morini, L.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,Questioning the Published: On the Unpublishability and (Therefore) the Importance of Invisible (Academic) Activism,https://pureportal.coventry.ac.uk/en/publications/questioning-the-published-on-the-unpublishability-and-therefore-t,1 Jan 2022
"Raven, S.",https://pureportal.coventry.ac.uk/en/persons/steve-raven,Reimagining Qualitative Social Research Fieldwork to Move Online: Perceptions of Racism Among Physical Education Students,https://pureportal.coventry.ac.uk/en/publications/reimagining-qualitative-social-research-fieldwork-to-move-online-,17 Mar 2022
"Tramontano, C., Wood, C., Hemsley, S.",https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,"Self-efficacy in the Classroom: The Roles of Motivation, Positivity and Resilience",https://pureportal.coventry.ac.uk/en/publications/self-efficacy-in-the-classroom-the-roles-of-motivation-positivity,8 Mar 2022
"Liu, D., Deng, Y., Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Students’ perceptions and experiences of translanguaging pedagogy in teaching English for academic purposes in China,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-translanguaging-pedagogy-,13 Oct 2022
"O'Brien, R., Haug, E., Rubin, J., Leibowitz, J., Wimpenny, K., Szeles, A., Garcia, B., Besana, G. M.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Taking COIL Virtual Exchange to Scale: 2004-2020,https://pureportal.coventry.ac.uk/en/publications/taking-coil-virtual-exchange-to-scale-2004-2020,6 Sept 2022
"Grove, M., Lawson, D., Croft, T.",https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,"The development of mathematics support: teaching and learning practices, scholarship and communities",https://pureportal.coventry.ac.uk/en/publications/the-development-of-mathematics-support-teaching-and-learning-prac,30 Jan 2022
"Price, C., Lawson, D., Owen, A.","https://pureportal.coventry.ac.uk/en/persons/charlotte-price,  https://pureportal.coventry.ac.uk/en/persons/alun-owen,  https://pureportal.coventry.ac.uk/en/persons/duncan-lawson",The Impact of COVID-19 on Year 13 A level Mathematics Students: findings of a small-scale survey,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-year-13-a-level-mathematics-students-fi,8 Apr 2022
"Tramontano, C., Barbaranelli, C., Fida, R., Ghezzi, V., Dentale, F., Paciello, M.",https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,The Implicit Component of Moral Disengagement: Applying the Relational Responding Task to Investigate Its Relationship With Cheating Behavior,https://pureportal.coventry.ac.uk/en/publications/the-implicit-component-of-moral-disengagement-applying-the-relati,1 Jan 2022
"Grove, M., Lawson, D., Croft, T.",https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,The importance of mathematics and statistics support in English universities: An analysis of institutionally-written regulatory documents,https://pureportal.coventry.ac.uk/en/publications/the-importance-of-mathematics-and-statistics-support-in-english-u,2022
"Nurumov, K., Courtney, M., Ersozlu, Z., Karakus, M.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,The influence of ict use and related attitudes on students’ math and science performance: multilevel analyses of the last decade’s pisa surveys,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-ict-use-and-related-attitudes-on-students-math-a,2 Aug 2022
"Crawford, M., Muhammad, R. R., Lawson, D., Aslam, F.","https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad,  https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,  https://pureportal.coventry.ac.uk/en/persons/farzana-aslam,  https://pureportal.coventry.ac.uk/en/persons/megan-crawford",The Scientific Approach of The Indonesian 2013 Curriculum: A Comparison with Other Active Learning Strategies in Mathematics,https://pureportal.coventry.ac.uk/en/publications/the-scientific-approach-of-the-indonesian-2013-curriculum-a-compa,15 May 2022
"Crawford, M., Alyafei, K., Ayoubi, R.","https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi,  https://pureportal.coventry.ac.uk/en/persons/megan-crawford",The student experiences of teaching and learning in transnational higher education: A phenomenographic study from a British-Qatari partnership,https://pureportal.coventry.ac.uk/en/publications/the-student-experiences-of-teaching-and-learning-in-transnational,2022
"Morini, L., Adefila, A.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,The University Colonised/Coloniser,https://pureportal.coventry.ac.uk/en/publications/the-university-colonisedcoloniser,10 Jun 2022
"Affouneh, S., Wimpenny, K., Alkamari, A., Nascimbeni, F., Jariego, I., Eldieb, A.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Using open education practices across the Mediterranean for intercultural curriculum development in higher education,https://pureportal.coventry.ac.uk/en/publications/using-open-education-practices-across-the-mediterranean-for-inter-2,2022
"Crawford, M., Langford, S.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,Walking with teachers: A study to explore the importance of teacher wellbeing and their careers,https://pureportal.coventry.ac.uk/en/publications/walking-with-teachers-a-study-to-explore-the-importance-of-teache,7 Feb 2022
"Charalampous, M., Tramontano, C., Grant, C.","https://pureportal.coventry.ac.uk/en/persons/christine-grant,  https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano",“It needs to be the right blend”: a qualitative exploration of remote e-workers’ experience and well-being at work.”,https://pureportal.coventry.ac.uk/en/publications/it-needs-to-be-the-right-blend-a-qualitative-exploration-of-remot,14 Feb 2022
"Beelen, J., Slambee, C., Mitchelle, L-M., Viviani, A., DeWinter, A., Wimpenny, K., Adam, N., George, V., Hodges, M., Obadire, S., Jacobs, L., Klamer, R., Jackson, L., Hagenmeier, C., Samuels, L.","https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,  https://pureportal.coventry.ac.uk/en/persons/alun-dewinter","Adapting a capacity-development-in-higher-education project: Doing, being and becoming virtual collaboration",https://pureportal.coventry.ac.uk/en/publications/adapting-a-capacity-development-in-higher-education-project-doing,12 Mar 2021
"Lawson, D.",https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,A history of the development of the mathematics and statistics support community in the United Kingdom.  Part 1: From alpha to sigma,https://pureportal.coventry.ac.uk/en/publications/a-history-of-the-development-of-the-mathematics-and-statistics-su,19 Jan 2021
"Crawford, M.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,"""Being"" a Head of Department in an English University",https://pureportal.coventry.ac.uk/en/publications/being-a-head-of-department-in-an-english-university,9 Dec 2021
"King, V., Clouder, L., Billot, J., Smith, J.",https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,Borderlanders: Academic Staff being and becoming Doctoral Students,https://pureportal.coventry.ac.uk/en/publications/borderlanders-academic-staff-being-and-becoming-doctoral-students,2021
"Klamer, R., DeWinter, A.",https://pureportal.coventry.ac.uk/en/persons/alun-dewinter,"Can COIL be effective in using diversity to contribute to equality? Experiences of iKudu, a European-South African consortium operating via a decolonised approach to project delivery",https://pureportal.coventry.ac.uk/en/publications/can-coil-be-effective-in-using-diversity-to-contribute-to-equalit,16 Aug 2021
"Crawford, M., Kutsyuruba, B., Walker, K., Cherkowski, S.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,Conceptualising leadership and emotions in higher education: wellbeing as wholeness,https://pureportal.coventry.ac.uk/en/publications/conceptualising-leadership-and-emotions-in-higher-education-wellb,2021
"Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Critiquing Inclusive Pedagogies: Online conversations on Inclusive online pedagogies,https://pureportal.coventry.ac.uk/en/publications/critiquing-inclusive-pedagogies-online-conversations-on-inclusive,16 Sept 2021
"Morini, L., Adefila, A.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,Decolonising Education – Fostering Conversations - Interim Project Report,https://pureportal.coventry.ac.uk/en/publications/decolonising-education-fostering-conversations-interim-project-re,9 Sept 2021
"Clarke, C., Tramontano, C., Grant, C.","https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,  https://pureportal.coventry.ac.uk/en/persons/christine-grant",Development and validation of the e-Work Self-Efficacy Scale to assess digital competencies in remote working,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-the-e-work-self-efficacy-scale-to-a,31 Jul 2021
"Orsini-Jones, M., Finardi, K.",https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones,"Digital critical literacy development and intercultural awareness raising ‘in’ action, ‘on’ action and ‘for’ action in ELT",https://pureportal.coventry.ac.uk/en/publications/digital-critical-literacy-development-and-intercultural-awareness,1 Oct 2021
"King, V., Clouder, L., Billot, J., Smith, J.",https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,Dual-status academics: What makes for meaningful identity-work?,https://pureportal.coventry.ac.uk/en/publications/dual-status-academics-what-makes-for-meaningful-identity-work,21 Jun 2021
"Adefila, A., Soliev, I., Wimpenny, K., Morini, L., Spolander, G., Arrobbio, O., Robinson, Z., Willers, B., Padovan, D., Brown, G.","https://pureportal.coventry.ac.uk/en/persons/geraldine-brown,  https://pureportal.coventry.ac.uk/en/persons/luca-morini,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny",Ecologized Collaborative Online International Learning: Tackling Wicked Sustainability Problems through Education for Sustainable Development,https://pureportal.coventry.ac.uk/en/publications/ecologized-collaborative-online-international-learning-tackling-w,17 Jul 2021
"Morini, L.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,Education as Bulwark of Uselessness.,https://pureportal.coventry.ac.uk/en/publications/education-as-bulwark-of-uselessness,28 Feb 2021
"Ersozlu, A., Usak, M., Karakus, M.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,"Emotions in Learning, Teaching, and Leadership: A Bibliometric Review of Asian Literature (1990–2018)",https://pureportal.coventry.ac.uk/en/publications/emotions-in-learning-teaching-and-leadership-a-bibliometric-revie,25 Jan 2021
"Hodds, M., Lawson, D., Gokhool, F., Aslam, F.","https://pureportal.coventry.ac.uk/en/persons/farhana-gokhool,  https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,  https://pureportal.coventry.ac.uk/en/persons/mark-hodds,  https://pureportal.coventry.ac.uk/en/persons/farzana-aslam",Exploring differential engagement with mathematics support from an engineering student focus,https://pureportal.coventry.ac.uk/en/publications/exploring-differential-engagement-with-mathematics-support-from-a,23 Dec 2021
"Bello, J., Wilson, C., Ruddock, L.",https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello,Finding our place in the world with the Sustainable Development Goals,https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g,18 Feb 2021
"Morini, L., Raven, S.","https://pureportal.coventry.ac.uk/en/persons/luca-morini,  https://pureportal.coventry.ac.uk/en/persons/steve-raven",Institute of Coding - Educational Evaluation Report,https://pureportal.coventry.ac.uk/en/publications/institute-of-coding-educational-evaluation-report,26 Mar 2021
"Viviani, A., Antonelli, M., DeWinter, A., Adefila, A., Massari, S., Chen, Y-F., Filipova, T., Karlsson, L., Dang, Q., Ammari-Allahyari, M., Saarto, A.","https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen,  https://pureportal.coventry.ac.uk/en/persons/que-anh-dang,  https://pureportal.coventry.ac.uk/en/persons/alun-dewinter","Integrating Sustainability-Oriented Ecologies of Practice Across the Learning Cycle: Supporting Transformative Behaviours in Transgenerational, Transnational and Transdisciplinary Spaces",https://pureportal.coventry.ac.uk/en/publications/integrating-sustainability-oriented-ecologies-of-practice-across-,30 Dec 2021
"Beelen, J., Rubin, J., Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Internationalisation in the classroom and questions of alignment: embedding COIL in an internationalised curriculum,https://pureportal.coventry.ac.uk/en/publications/internationalisation-in-the-classroom-and-questions-of-alignment-,22 Feb 2021
"Adefila, A., DeWinter, A., Wimpenny, K.","https://pureportal.coventry.ac.uk/en/persons/alun-dewinter,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny","JOVITAL - Jordan Opportunity for Virtual Innovative Teaching and Learning Final Report on project activity and impact evaluation 2017-2021: International Online Teaching and Learning, with particular attention to the Jordanian Case",https://pureportal.coventry.ac.uk/en/publications/jovital-jordan-opportunity-for-virtual-innovative-teaching-and-le,Apr 2021
"Lawson, D., Croft, T.",https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,Lessons for mathematics higher education from 25 years of mathematics support,https://pureportal.coventry.ac.uk/en/publications/lessons-for-mathematics-higher-education-from-25-years-of-mathema,15 Apr 2021
"Tomlins, R., Wimpenny, K., Utami, D. D., Arifin, R., Aldy, P. R., Arnab, S., Muhibuddin, F.","https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny",Measuring Early-Primary Students Resilience through Playful Learning,https://pureportal.coventry.ac.uk/en/publications/measuring-early-primary-students-resilience-through-playful-learn,27 Sept 2021
"Zuffianó, A., Tramontano, C., Caprara, M. G., Zhu, L., Eisenberg, N., Caprara, G. V., Pastorelli, C., Regner, E.",https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,Measuring Prosocial Behaviors: Psychometric Properties and Cross-National Validation of the Prosociality Scale in Five Countries,https://pureportal.coventry.ac.uk/en/publications/measuring-prosocial-behaviors-psychometric-properties-and-cross-n,22 Jul 2021
"Liu, D., Harrison, P., DeWinter, A., Wimpenny, K.","https://pureportal.coventry.ac.uk/en/persons/alun-dewinter,  https://pureportal.coventry.ac.uk/en/persons/peter-harrison,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny",Motivation factors in student decisions to study Transnational Higher Education in China: a comparative study of two Anglo-Sino programmes,https://pureportal.coventry.ac.uk/en/publications/enhancing-transnational-education-tne-programmes-understanding-st,29 Mar 2021
"Fero, K.",https://pureportal.coventry.ac.uk/en/persons/ken-fero,Obstinate Memory: Documentary as trauma in disrupting state narratives on racial violence,https://pureportal.coventry.ac.uk/en/publications/obstinate-memory-documentary-as-trauma-in-disrupting-state-narrat,5 Oct 2021
"Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Online Pedagogies Beyond the Classroom,https://pureportal.coventry.ac.uk/en/publications/online-pedagogies-beyond-the-classroom,11 Nov 2021
"Karakus, M.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,Outcomes of school administrators’ emotion management: A review of evidence in Asian countries,https://pureportal.coventry.ac.uk/en/publications/outcomes-of-school-administrators-emotion-management-a-review-of-,28 Apr 2021
